Time,Yaw,Encoder Left,Encoder Right
8.333,0.0,0,0
8.339,0.0,0,0
8.345,-0.01,1,1
8.351,-0.06,3,3
8.357,-0.15,6,5
8.363,-0.21,8,7
8.369,-0.21,11,8
8.375,-0.18,13,10
8.381,-0.11,16,13
8.387,-0.05,19,15
8.393,-0.01,22,18
8.399,0.03,26,22
8.405,0.06,29,25
8.411,0.09,33,29
8.417,0.09,37,33
8.423,0.06,40,37
8.429,0.02,45,41
8.435,0.03,49,45
8.441,0.09,53,49
8.447,0.14,57,53
8.453,0.14,61,57
8.459,0.13,65,62
8.465,0.12,69,66
8.471,0.12,74,70
8.477,0.11,78,75
8.483,0.13,83,79
8.489,0.19,87,84
8.495,0.25,91,88
8.501,0.27,96,93
8.507,0.28,100,97
8.513,0.28,105,102
8.519,0.28,110,107
8.525,0.27,114,111
8.531,0.27,119,116
8.537,0.3,123,120
8.543,0.33,128,125
8.549,0.32,132,130
8.555,0.3,137,134
8.561,0.32,141,139
8.567,0.35,146,143
8.573,0.36,150,148
8.579,0.36,155,153
8.585,0.38,159,157
8.591,0.41,164,161
8.597,0.41,168,166
8.603,0.38,173,171
8.609,0.39,177,175
8.615,0.41,182,179
8.621,0.43,186,184
8.627,0.44,191,188
8.633,0.46,195,193
8.639,0.5,199,197
8.645,0.52,204,202
8.651,0.51,208,206
8.657,0.51,213,211
8.663,0.51,217,216
8.669,0.5,222,220
8.675,0.47,226,224
8.681,0.46,231,229
8.687,0.48,235,233
8.693,0.5,240,238
8.699,0.52,244,242
8.705,0.56,249,247
8.711,0.62,253,251
8.717,0.66,257,256
8.723,0.66,262,260
8.729,0.65,266,265
8.735,0.64,270,270
8.741,0.61,275,274
8.747,0.58,279,279
8.753,0.58,284,283
8.759,0.62,288,288
8.765,0.65,293,292
8.771,0.66,297,297
8.777,0.66,302,301
8.783,0.68,307,306
8.789,0.68,311,311
8.795,0.66,316,316
8.801,0.66,321,320
8.807,0.69,325,325
8.813,0.72,330,329
8.819,0.73,334,334
8.825,0.72,339,339
8.831,0.71,343,344
8.837,0.67,348,348
8.843,0.63,353,353
8.849,0.64,357,357
8.855,0.71,362,362
8.861,0.77,367,366
8.867,0.8,371,371
8.873,0.82,376,375
8.879,0.81,380,380
8.885,0.77,385,384
8.891,0.73,390,389
8.897,0.7,394,393
8.903,0.7,399,398
8.909,0.72,404,402
8.915,0.72,409,407
8.921,0.74,413,411
8.927,0.76,418,416
8.933,0.75,423,421
8.939,0.73,428,426
8.945,0.74,432,430
8.951,0.76,437,435
8.957,0.75,442,440
8.963,0.71,446,445
8.969,0.69,451,450
8.975,0.7,456,454
8.981,0.71,461,459
8.987,0.75,466,464
8.993,0.82,470,469
8.999,0.85,475,474
9.005,0.83,480,479
9.011,0.8,484,484
9.017,0.78,489,489
9.023,0.76,494,493
9.029,0.73,498,498
9.035,0.73,503,503
9.041,0.76,508,507
9.047,0.79,513,512
9.053,0.8,518,517
9.059,0.81,522,522
9.065,0.82,527,527
9.071,0.82,532,532
9.077,0.8,536,537
9.083,0.8,541,541
9.089,0.81,545,546
9.095,0.81,550,551
9.101,0.8,555,555
9.107,0.81,559,560
9.113,0.83,564,565
9.119,0.84,568,569
9.125,0.85,573,574
9.131,0.88,577,578
9.137,0.92,582,583
9.143,0.95,586,587
9.149,0.96,590,592
9.155,0.96,595,597
9.161,0.95,599,601
9.167,0.92,604,606
9.173,0.87,608,611
9.179,0.84,613,615
9.185,0.83,618,620
9.191,0.85,622,624
9.197,0.88,627,629
9.203,0.92,631,633
9.209,0.95,635,638
9.215,0.97,640,642
9.221,0.96,644,647
9.227,0.94,649,652
9.233,0.92,653,656
9.239,0.9,657,661
9.245,0.89,662,665
9.251,0.9,666,670
9.257,0.92,671,674
9.263,0.95,675,679
9.269,0.97,680,683
9.275,0.95,684,688
9.281,0.93,689,692
9.287,0.91,693,697
9.293,0.91,697,702
9.299,0.92,702,706
9.305,0.93,706,711
9.311,0.94,711,715
9.317,0.94,715,720
9.323,0.93,720,724
9.329,0.93,724,729
9.335,0.94,729,733
9.341,0.95,733,738
9.347,0.97,738,743
9.353,0.97,743,747
9.359,0.97,747,752
9.365,0.97,752,757
9.371,0.96,756,761
9.377,0.95,761,766
9.383,0.94,765,770
9.389,0.94,770,775
9.395,0.96,774,779
9.401,0.99,779,784
9.407,1.03,783,789
9.413,1.06,788,794
9.419,1.08,792,798
9.425,1.07,797,803
9.431,1.05,801,808
9.437,1.03,806,813
9.443,1.01,811,817
9.449,1.01,815,822
9.455,1.01,820,827
9.461,1.01,824,831
9.467,1.0,829,836
9.473,1.0,833,841
9.479,1.03,838,845
9.485,1.04,842,850
9.491,1.03,847,855
9.497,1.03,851,859
9.503,1.03,856,864
9.509,1.04,860,869
9.515,1.03,865,873
9.521,1.01,869,878
9.527,1.01,874,882
9.533,1.02,878,887
9.539,1.02,883,892
9.545,1.02,887,896
9.551,1.03,892,901
9.557,1.05,896,905
9.563,1.04,901,910
9.569,1.02,905,915
9.575,1.01,910,919
9.581,1.0,914,924
9.587,0.96,919,928
9.593,0.93,923,933
9.599,0.95,928,938
9.605,1.01,932,942
9.611,1.04,937,947
9.617,1.04,941,951
9.623,1.04,946,956
9.629,1.03,950,961
9.635,1.0,955,965
9.641,0.98,959,970
9.647,0.99,964,975
9.653,1.02,968,979
9.659,1.01,973,984
9.665,0.99,977,988
9.671,1.0,982,993
9.677,1.03,986,997
9.683,1.03,991,1002
9.689,1.03,995,1006
9.695,1.04,1000,1011
9.701,1.06,1004,1016
9.707,1.04,1009,1020
9.713,1.01,1013,1025
9.719,1.02,1017,1029
9.725,1.03,1022,1034
9.731,1.0,1026,1038
9.737,0.97,1031,1043
9.743,0.99,1035,1047
9.749,1.04,1040,1052
9.755,1.06,1044,1056
9.761,1.05,1049,1060
9.767,1.06,1053,1065
9.773,1.09,1057,1069
9.779,1.1,1062,1073
9.785,1.09,1066,1078
9.791,1.08,1070,1082
9.797,1.07,1075,1086
9.803,1.06,1079,1091
9.809,1.02,1084,1095
9.815,0.99,1089,1100
9.821,0.98,1093,1104
9.827,1.0,1098,1108
9.833,1.01,1102,1113
9.839,1.04,1107,1117
9.845,1.07,1111,1122
9.851,1.07,1116,1127
9.857,1.04,1120,1131
9.863,1.01,1124,1136
9.869,1.0,1129,1140
9.875,0.99,1133,1145
9.881,0.96,1138,1150
9.887,0.96,1142,1154
9.893,1.0,1147,1159
9.899,1.05,1151,1163
9.905,1.05,1156,1168
9.911,1.04,1160,1173
9.917,1.04,1164,1177
9.923,1.04,1169,1182
9.929,1.0,1173,1187
9.935,0.98,1178,1191
9.941,1.0,1182,1196
9.947,1.04,1186,1200
9.953,1.04,1191,1205
9.959,1.04,1195,1209
9.965,1.04,1200,1214
9.971,1.04,1204,1219
9.977,1.0,1208,1223
9.983,0.95,1213,1228
9.989,0.94,1217,1232
9.995,0.96,1221,1237
10.001,0.97,1226,1241
10.007,0.98,1230,1246
10.013,1.01,1234,1250
10.019,1.05,1239,1255
10.025,1.05,1243,1259
10.031,1.01,1248,1264
10.037,0.99,1252,1268
10.043,1.01,1256,1273
10.049,1.04,1260,1277
10.055,1.06,1265,1281
10.061,1.07,1269,1286
10.067,1.08,1273,1290
10.073,1.08,1277,1295
10.079,1.04,1282,1299
10.085,0.98,1286,1304
10.091,0.94,1291,1308
10.097,0.91,1295,1313
10.103,0.89,1300,1317
10.109,0.93,1305,1322
10.115,1.01,1309,1326
10.121,1.07,1313,1331
10.127,1.09,1318,1335
10.133,1.07,1322,1340
10.139,1.05,1326,1345
10.145,1.02,1331,1349
10.151,0.97,1335,1354
10.157,0.95,1339,1358
10.163,0.96,1344,1363
10.169,0.98,1348,1367
10.175,0.99,1353,1372
10.181,0.99,1357,1376
10.187,1.0,1361,1381
10.193,1.0,1366,1385
10.199,0.98,1370,1390
10.205,0.97,1375,1395
10.211,0.98,1379,1399
10.217,0.99,1384,1404
10.223,0.99,1388,1408
10.229,0.97,1392,1413
10.235,0.96,1397,1417
10.241,0.96,1401,1422
10.247,0.97,1406,1426
10.253,0.97,1410,1431
10.259,0.98,1415,1436
10.265,0.99,1419,1440
10.271,0.99,1423,1445
10.277,0.96,1428,1449
10.283,0.93,1432,1454
10.289,0.91,1437,1458
10.295,0.92,1441,1463
10.301,0.93,1446,1467
10.307,0.95,1450,1472
10.313,0.96,1455,1476
10.319,0.96,1459,1481
10.325,0.95,1463,1486
10.331,0.95,1468,1490
10.337,0.97,1472,1495
10.343,0.99,1477,1499
10.349,1.0,1481,1504
10.355,1.0,1486,1509
10.361,0.98,1490,1514
10.367,0.96,1495,1518
10.373,0.95,1499,1523
10.379,0.94,1504,1528
10.385,0.96,1508,1532
10.391,0.99,1513,1537
10.397,0.99,1517,1541
10.403,0.98,1522,1546
10.409,0.97,1526,1551
10.415,0.97,1531,1555
10.421,0.97,1535,1560
10.427,0.95,1540,1565
10.433,0.95,1544,1569
10.439,0.96,1549,1574
10.445,0.97,1553,1578
10.451,0.97,1558,1583
10.457,0.96,1562,1587
10.463,0.96,1566,1592
10.469,0.97,1571,1597
10.475,0.95,1575,1601
10.481,0.95,1580,1606
10.487,0.96,1584,1610
10.493,0.97,1589,1615
10.499,0.96,1593,1619
10.505,0.94,1598,1624
10.511,0.94,1602,1629
10.517,0.97,1607,1633
10.523,0.97,1611,1638
10.529,0.96,1615,1642
10.535,0.95,1620,1646
10.541,0.95,1624,1651
10.547,0.94,1629,1655
10.553,0.91,1633,1660
10.559,0.9,1638,1664
10.565,0.94,1642,1669
10.571,0.98,1647,1673
10.577,1.0,1651,1678
10.583,1.01,1655,1683
10.589,1.0,1660,1687
10.595,0.96,1664,1692
10.601,0.91,1669,1696
10.607,0.9,1673,1701
10.613,0.94,1677,1705
10.619,0.98,1682,1710
10.625,0.99,1686,1714
10.631,0.99,1691,1719
10.637,0.99,1695,1724
10.643,0.95,1700,1728
10.649,0.89,1704,1733
10.655,0.87,1709,1737
10.661,0.93,1713,1742
10.667,1.0,1718,1746
10.673,1.03,1722,1750
10.679,1.04,1727,1755
10.685,1.04,1731,1760
10.691,1.02,1735,1764
10.697,0.98,1740,1768
10.703,0.94,1744,1773
10.709,0.94,1748,1777
10.715,0.96,1753,1781
10.721,0.97,1757,1785
10.727,0.95,1762,1790
10.733,0.94,1767,1794
10.739,0.94,1771,1799
10.745,0.92,1776,1803
10.751,0.9,1780,1808
10.757,0.9,1785,1812
10.763,0.93,1789,1817
10.769,0.95,1794,1821
10.775,0.95,1798,1826
10.781,0.94,1803,1831
10.787,0.93,1807,1835
10.793,0.89,1812,1840
10.799,0.87,1816,1844
10.805,0.9,1820,1849
10.811,0.95,1825,1854
10.817,0.95,1829,1858
10.823,0.93,1834,1863
10.829,0.92,1838,1867
10.835,0.93,1843,1872
10.841,0.92,1847,1876
10.847,0.9,1851,1881
10.853,0.9,1856,1885
10.859,0.93,1860,1890
10.865,0.94,1865,1895
10.871,0.93,1869,1899
10.877,0.94,1874,1904
10.883,0.97,1878,1909
10.889,0.96,1883,1914
10.895,0.92,1887,1918
10.901,0.91,1892,1923
10.907,0.91,1897,1928
10.913,0.88,1901,1932
10.919,0.86,1906,1937
10.925,0.88,1910,1941
10.931,0.94,1915,1946
10.937,0.98,1919,1950
10.943,0.98,1923,1955
10.949,0.99,1928,1959
10.955,1.01,1932,1964
10.961,1.02,1936,1969
10.967,1.0,1941,1973
10.973,0.98,1945,1978
10.979,0.99,1949,1982
10.985,0.99,1954,1987
10.991,0.95,1958,1991
10.997,0.91,1963,1996
11.003,0.89,1967,2000
11.009,0.89,1972,2005
11.015,0.89,1976,2009
11.021,0.91,1981,2014
11.027,0.97,1986,2018
11.033,1.0,1990,2023
11.039,0.99,1994,2027
11.045,0.98,1999,2032
11.051,0.99,2003,2037
11.057,0.99,2007,2041
11.063,0.95,2012,2046
11.069,0.92,2016,2050
11.075,0.93,2021,2055
11.081,0.94,2025,2059
11.087,0.93,2030,2064
11.093,0.92,2034,2068
11.099,0.94,2039,2073
11.105,0.95,2043,2077
11.111,0.94,2047,2082
11.117,0.94,2052,2086
11.123,0.97,2056,2091
11.129,0.99,2061,2095
11.135,0.98,2065,2100
11.141,0.96,2069,2104
11.147,0.96,2074,2109
11.153,0.96,2078,2114
11.159,0.95,2083,2118
11.165,0.94,2087,2123
11.171,0.97,2092,2127
11.177,1.01,2096,2132
11.183,1.01,2100,2136
11.189,0.98,2105,2141
11.195,0.97,2109,2146
11.201,0.96,2114,2150
11.207,0.95,2118,2155
11.213,0.94,2123,2159
11.219,0.94,2127,2164
11.225,0.95,2132,2169
11.231,0.97,2136,2173
11.237,0.97,2141,2178
11.243,0.97,2145,2182
11.249,0.97,2149,2187
11.255,0.97,2154,2191
11.261,0.95,2158,2196
11.267,0.95,2163,2201
11.273,0.99,2167,2205
11.279,1.01,2171,2210
11.285,1.02,2176,2215
11.291,1.02,2181,2219
11.297,1.01,2185,2224
11.303,1.0,2190,2229
11.309,0.98,2194,2233
11.315,0.98,2199,2238
11.321,1.0,2203,2242
11.327,1.01,2207,2247
11.333,1.0,2212,2251
11.339,0.98,2216,2256
11.345,0.98,2221,2260
11.351,0.98,2225,2265
11.357,0.98,2230,2270
11.363,0.99,2234,2274
11.369,1.01,2239,2279
11.375,1.02,2243,2284
11.381,1.02,2247,2288
11.387,1.01,2252,2293
11.393,0.99,2256,2297
11.399,0.99,2261,2302
11.405,0.98,2265,2307
11.411,0.97,2269,2311
11.417,0.97,2274,2316
11.423,0.98,2278,2320
11.429,1.01,2282,2325
11.435,1.02,2287,2329
11.441,1.03,2291,2334
11.447,1.02,2295,2338
11.453,0.99,2300,2343
11.459,0.94,2304,2347
11.465,0.89,2309,2351
11.471,0.88,2313,2356
11.477,0.92,2318,2360
11.483,0.96,2322,2365
11.489,0.98,2327,2369
11.495,0.98,2331,2374
11.501,0.98,2335,2378
11.507,0.97,2340,2383
11.513,0.95,2344,2388
11.519,0.95,2349,2392
11.525,0.96,2353,2397
11.531,0.96,2358,2401
11.537,0.95,2362,2406
11.543,0.94,2366,2411
11.549,0.95,2371,2415
11.555,0.95,2375,2420
11.561,0.92,2380,2424
11.567,0.91,2385,2429
11.573,0.92,2389,2433
11.579,0.95,2394,2438
11.585,0.97,2398,2442
11.591,1.0,2403,2447
11.597,1.02,2407,2451
11.603,1.03,2412,2456
11.609,1.01,2416,2460
11.615,0.98,2420,2464
11.621,0.97,2425,2469
11.627,0.97,2430,2473
11.633,0.96,2434,2478
11.639,0.96,2439,2482
11.645,0.96,2443,2487
11.651,0.97,2448,2491
11.657,0.97,2453,2496
11.663,0.96,2457,2500
11.669,0.97,2462,2505
11.675,0.97,2466,2510
11.681,0.96,2471,2514
11.687,0.93,2475,2519
11.693,0.9,2480,2524
11.699,0.89,2485,2528
11.705,0.88,2489,2533
11.711,0.88,2494,2537
11.717,0.91,2498,2542
11.723,0.94,2503,2547
11.729,0.95,2507,2551
11.735,0.95,2512,2556
11.741,0.95,2516,2561
11.747,0.94,2521,2565
11.753,0.91,2525,2570
11.759,0.88,2529,2574
11.765,0.89,2534,2579
11.771,0.91,2538,2583
11.777,0.92,2543,2588
11.783,0.93,2547,2593
11.789,0.95,2552,2597
11.795,0.96,2556,2602
11.801,0.93,2561,2607
11.807,0.9,2565,2611
11.813,0.89,2569,2616
11.819,0.89,2574,2621
11.825,0.88,2578,2625
11.831,0.86,2583,2630
11.837,0.89,2587,2634
11.843,0.93,2592,2639
11.849,0.92,2596,2643
11.855,0.9,2601,2648
11.861,0.9,2605,2652
11.867,0.94,2609,2657
11.873,0.97,2614,2661
11.879,1.0,2618,2666
11.885,1.02,2622,2670
11.891,1.03,2626,2675
11.897,1.0,2631,2679
11.903,0.92,2635,2684
11.909,0.85,2639,2688
11.915,0.82,2644,2693
11.921,0.81,2648,2697
11.927,0.81,2653,2702
11.933,0.86,2658,2706
11.939,0.94,2662,2711
11.945,0.99,2666,2715
11.951,0.98,2671,2720
11.957,0.95,2675,2725
11.963,0.94,2680,2729
11.969,0.9,2684,2734
11.975,0.85,2689,2738
11.981,0.83,2693,2743
11.987,0.87,2698,2747
11.993,0.9,2702,2752
11.999,0.9,2707,2756
12.005,0.89,2711,2761
12.011,0.89,2716,2765
12.017,0.87,2720,2770
12.023,0.84,2725,2775
12.029,0.82,2729,2779
12.035,0.85,2734,2784
12.041,0.87,2738,2788
12.047,0.87,2743,2793
12.053,0.86,2747,2797
12.059,0.86,2752,2802
12.065,0.86,2756,2807
12.071,0.84,2761,2811
12.077,0.84,2765,2816
12.083,0.89,2770,2821
12.089,0.93,2774,2825
12.095,0.92,2779,2830
12.101,0.9,2783,2835
12.107,0.9,2787,2839
12.113,0.89,2792,2844
12.119,0.85,2796,2848
12.125,0.83,2801,2853
12.131,0.85,2805,2858
12.137,0.88,2810,2862
12.143,0.87,2815,2867
12.149,0.85,2819,2872
12.155,0.86,2824,2876
12.161,0.87,2828,2881
12.167,0.86,2833,2886
12.173,0.84,2837,2890
12.179,0.85,2842,2895
12.185,0.86,2846,2900
12.191,0.85,2851,2904
12.197,0.84,2855,2909
12.203,0.88,2860,2914
12.209,0.91,2864,2918
12.215,0.91,2869,2923
12.221,0.9,2873,2928
12.227,0.89,2878,2932
12.233,0.89,2882,2937
12.239,0.86,2887,2942
12.245,0.84,2892,2946
12.251,0.86,2896,2951
12.257,0.88,2901,2955
12.263,0.88,2905,2960
12.269,0.87,2910,2964
12.275,0.89,2914,2969
12.281,0.9,2918,2974
12.287,0.88,2923,2978
12.293,0.86,2927,2983
12.299,0.86,2932,2987
12.305,0.87,2936,2992
12.311,0.87,2940,2997
12.317,0.86,2945,3001
12.323,0.85,2949,3006
12.329,0.85,2954,3010
12.335,0.86,2958,3015
12.341,0.88,2963,3020
12.347,0.91,2967,3024
12.353,0.94,2971,3029
12.359,0.93,2976,3033
12.365,0.9,2980,3038
12.371,0.86,2985,3042
12.377,0.82,2989,3047
12.383,0.81,2994,3052
12.389,0.82,2998,3056
12.395,0.84,3003,3060
12.401,0.86,3007,3065
12.407,0.86,3012,3069
12.413,0.85,3016,3074
12.419,0.84,3021,3078
12.425,0.83,3025,3083
12.431,0.84,3029,3087
12.437,0.87,3034,3092
12.443,0.91,3038,3097
12.449,0.92,3043,3101
12.455,0.91,3047,3106
12.461,0.87,3051,3110
12.467,0.82,3056,3115
12.473,0.78,3060,3119
12.479,0.79,3065,3124
12.485,0.83,3069,3128
12.491,0.88,3074,3132
12.497,0.93,3078,3137
12.503,0.94,3083,3141
12.509,0.92,3087,3146
12.515,0.9,3091,3150
12.521,0.88,3096,3154
12.527,0.87,3100,3158
12.533,0.88,3105,3163
12.539,0.89,3109,3167
12.545,0.9,3114,3171
12.551,0.91,3118,3176
12.557,0.89,3123,3180
12.563,0.88,3127,3185
12.569,0.86,3132,3189
12.575,0.86,3136,3194
12.581,0.89,3141,3198
12.587,0.91,3145,3203
12.593,0.91,3149,3207
12.599,0.89,3154,3212
12.605,0.86,3158,3217
12.611,0.83,3163,3221
12.617,0.8,3168,3226
12.623,0.79,3173,3230
12.629,0.81,3177,3235
12.635,0.85,3182,3239
12.641,0.89,3186,3244
12.647,0.89,3191,3249
12.653,0.87,3195,3253
12.659,0.84,3200,3258
12.665,0.82,3204,3262
12.671,0.82,3208,3267
12.677,0.82,3213,3271
12.683,0.81,3217,3276
12.689,0.8,3222,3281
12.695,0.82,3226,3285
12.701,0.84,3231,3290
12.707,0.86,3235,3294
12.713,0.85,3240,3299
12.719,0.84,3244,3304
12.725,0.81,3249,3308
12.731,0.78,3253,3313
12.737,0.76,3258,3318
12.743,0.77,3262,3322
12.749,0.81,3267,3327
12.755,0.83,3271,3331
12.761,0.83,3276,3336
12.767,0.82,3280,3340
12.773,0.82,3284,3345
12.779,0.82,3289,3349
12.785,0.82,3293,3354
12.791,0.84,3298,3358
12.797,0.88,3302,3363
12.803,0.91,3306,3367
12.809,0.92,3310,3372
12.815,0.91,3315,3376
