Time,Yaw,Encoder Left,Encoder Right
8.333,0.0,0,0
8.339,0.0,1,0
8.345,0.0,2,1
8.351,-0.03,4,3
8.357,-0.1,6,5
8.363,-0.21,9,7
8.369,-0.29,12,9
8.375,-0.33,15,11
8.381,-0.34,19,13
8.387,-0.3,22,15
8.393,-0.22,25,18
8.399,-0.14,29,21
8.405,-0.09,32,24
8.411,-0.06,36,27
8.417,-0.04,39,31
8.423,-0.03,43,35
8.429,-0.05,47,39
8.435,-0.08,51,43
8.441,-0.09,55,47
8.447,-0.06,59,52
8.453,-0.03,63,56
8.459,-0.02,68,60
8.465,-0.03,72,64
8.471,-0.03,76,69
8.477,-0.03,81,73
8.483,-0.03,85,77
8.489,-0.03,90,82
8.495,0.0,94,86
8.501,0.04,99,91
8.507,0.07,103,95
8.513,0.07,107,100
8.519,0.07,112,105
8.525,0.07,116,109
8.531,0.07,120,114
8.537,0.05,125,118
8.543,0.05,129,123
8.549,0.07,134,127
8.555,0.1,138,132
8.561,0.11,143,137
8.567,0.12,147,141
8.573,0.13,152,146
8.579,0.14,157,150
8.585,0.14,161,155
8.591,0.12,166,160
8.597,0.11,170,164
8.603,0.12,175,169
8.609,0.12,179,173
8.615,0.12,184,178
8.621,0.12,189,182
8.627,0.13,193,187
8.633,0.13,198,191
8.639,0.15,202,196
8.645,0.2,207,201
8.651,0.25,211,205
8.657,0.28,216,210
8.663,0.32,221,215
8.669,0.33,225,220
8.675,0.32,230,225
8.681,0.27,235,230
8.687,0.21,240,235
8.693,0.16,245,239
8.699,0.16,249,244
8.705,0.2,254,248
8.711,0.28,259,253
8.717,0.34,264,258
8.723,0.36,268,262
8.729,0.34,273,267
8.735,0.31,277,272
8.741,0.29,282,277
8.747,0.27,287,282
8.753,0.29,292,287
8.759,0.32,296,291
8.765,0.33,301,296
8.771,0.31,306,301
8.777,0.29,310,305
8.783,0.29,315,310
8.789,0.3,320,315
8.795,0.31,324,319
8.801,0.34,329,324
8.807,0.35,334,329
8.813,0.34,339,334
8.819,0.3,343,338
8.825,0.28,348,343
8.831,0.26,353,348
8.837,0.28,358,352
8.843,0.31,362,357
8.849,0.36,367,362
8.855,0.41,372,366
8.861,0.45,376,371
8.867,0.45,381,375
8.873,0.45,385,380
8.879,0.44,390,384
8.885,0.42,394,389
8.891,0.38,399,393
8.897,0.37,403,397
8.903,0.38,408,402
8.909,0.4,413,406
8.915,0.42,417,411
8.921,0.43,422,415
8.927,0.45,427,420
8.933,0.44,432,425
8.939,0.42,436,429
8.945,0.42,441,434
8.951,0.44,445,438
8.957,0.45,450,443
8.963,0.43,454,447
8.969,0.41,459,452
8.975,0.41,463,457
8.981,0.4,468,461
8.987,0.4,473,466
8.993,0.43,477,471
8.999,0.48,482,475
9.005,0.52,486,480
9.011,0.53,491,485
9.017,0.52,495,490
9.023,0.49,500,494
9.029,0.45,504,499
9.035,0.42,509,503
9.041,0.43,514,508
9.047,0.45,519,513
9.053,0.47,523,517
9.059,0.5,528,522
9.065,0.52,533,527
9.071,0.53,537,531
9.077,0.51,542,536
9.083,0.48,546,541
9.089,0.48,551,546
9.095,0.51,555,550
9.101,0.54,560,555
9.107,0.56,565,559
9.113,0.57,569,564
9.119,0.58,574,569
9.125,0.58,578,573
9.131,0.58,583,578
9.137,0.61,587,582
9.143,0.65,592,587
9.149,0.67,596,592
9.155,0.67,601,596
9.161,0.66,605,601
9.167,0.65,610,605
9.173,0.63,614,610
9.179,0.59,619,615
9.185,0.56,624,619
9.191,0.55,628,624
9.197,0.56,633,629
9.203,0.59,638,633
9.209,0.63,642,638
9.215,0.67,647,642
9.221,0.69,651,647
9.227,0.7,655,652
9.233,0.69,660,656
9.239,0.66,664,661
9.245,0.63,669,666
9.251,0.59,673,670
9.257,0.58,678,675
9.263,0.58,683,679
9.269,0.61,687,684
9.275,0.63,692,688
9.281,0.64,696,693
9.287,0.64,701,698
9.293,0.65,705,702
9.299,0.65,710,707
9.305,0.63,715,712
9.311,0.61,719,716
9.317,0.59,724,721
9.323,0.58,729,725
9.329,0.57,733,730
9.335,0.59,738,734
9.341,0.62,742,739
9.347,0.65,747,743
9.353,0.66,751,748
9.359,0.66,756,753
9.365,0.65,760,757
9.371,0.62,764,762
9.377,0.59,769,766
9.383,0.58,773,771
9.389,0.58,778,775
9.395,0.6,783,780
9.401,0.62,787,784
9.407,0.65,792,789
9.413,0.67,796,794
9.419,0.67,801,798
9.425,0.65,805,803
9.431,0.64,809,808
9.437,0.64,814,812
9.443,0.64,818,817
9.449,0.62,823,821
9.455,0.61,827,826
9.461,0.59,831,831
9.467,0.56,836,835
9.473,0.51,840,840
9.479,0.48,845,845
9.485,0.46,849,849
9.491,0.44,854,854
9.497,0.41,859,859
9.503,0.39,863,863
9.509,0.39,868,868
9.515,0.4,872,872
9.521,0.39,877,877
9.527,0.37,881,881
9.533,0.38,885,886
9.539,0.4,890,890
9.545,0.43,894,895
9.551,0.46,898,899
9.557,0.47,902,904
9.563,0.46,906,908
9.569,0.43,911,913
9.575,0.38,915,917
9.581,0.31,920,921
9.587,0.27,925,925
9.593,0.25,929,929
9.599,0.26,934,933
9.605,0.34,939,937
9.611,0.48,943,941
9.617,0.65,947,945
9.623,0.83,952,949
9.629,1.03,956,953
9.635,1.25,959,958
9.641,1.51,963,963
9.647,1.76,966,968
9.653,1.97,970,974
9.659,2.13,973,979
9.665,2.28,976,985
9.671,2.42,979,990
9.677,2.59,982,996
9.683,2.76,985,1001
