Time,Yaw,Encoder Left,Encoder Right
8.333,0.0,0,0
8.344,0.0,1,1
8.355,0.0,5,4
8.366,0.03,9,8
8.377,0.01,13,13
8.388,0.01,17,17
8.399,0.03,22,22
8.41,0.08,28,27
8.421,0.19,34,34
8.432,0.18,41,41
8.443,0.1,47,48
8.454,0.18,54,55
8.465,0.19,62,62
8.476,0.19,70,69
8.487,0.25,77,77
8.498,0.25,85,84
8.509,0.3,92,92
8.52,0.26,100,100
8.531,0.28,108,108
8.542,0.31,116,116
8.553,0.36,124,124
8.564,0.36,131,132
8.575,0.28,139,140
8.586,0.26,147,148
8.597,0.33,156,156
8.608,0.41,164,164
8.619,0.35,172,172
8.63,0.31,180,180
8.641,0.34,188,188
8.652,0.39,196,196
8.663,0.45,204,204
8.674,0.43,212,212
8.685,0.4,219,220
8.696,0.33,228,228
8.707,0.45,236,236
8.718,0.54,244,244
8.729,0.55,252,252
8.74,0.46,260,259
8.751,0.39,268,267
8.762,0.47,276,275
8.773,0.48,285,282
8.784,0.5,293,291
8.795,0.5,301,299
8.806,0.52,309,307
8.817,0.5,317,315
8.828,0.46,325,324
8.839,0.46,334,332
8.85,0.47,342,340
8.861,0.49,350,348
8.872,0.51,358,356
8.883,0.57,366,364
8.894,0.51,374,372
8.905,0.53,382,381
8.916,0.55,391,389
8.927,0.57,399,397
8.938,0.58,407,405
8.949,0.55,415,414
8.96,0.58,423,422
8.971,0.56,431,430
8.982,0.63,439,438
8.993,0.61,447,446
9.004,0.64,455,454
9.015,0.64,463,462
9.026,0.61,471,470
9.037,0.58,479,478
9.048,0.51,487,486
9.059,0.53,495,494
9.07,0.58,504,502
9.081,0.66,512,510
9.092,0.67,519,518
9.103,0.65,527,527
9.114,0.6,535,535
9.125,0.58,543,543
9.136,0.56,551,550
9.147,0.53,559,558
9.158,0.59,567,566
9.169,0.58,575,574
9.18,0.59,583,582
9.191,0.54,591,590
9.202,0.48,599,598
9.213,0.48,607,606
9.224,0.55,615,614
9.235,0.64,623,622
9.246,0.55,631,630
9.257,0.52,639,638
9.268,0.5,647,646
9.279,0.59,655,654
9.29,0.61,663,663
9.301,0.57,671,671
9.312,0.56,679,679
9.323,0.51,687,688
9.334,0.52,696,696
9.345,0.55,704,704
9.356,0.6,712,712
9.367,0.57,719,720
9.378,0.6,727,728
9.389,0.62,735,737
9.4,0.63,743,745
9.411,0.59,752,753
9.422,0.59,760,761
9.433,0.65,768,769
9.444,0.61,776,777
9.455,0.62,784,786
9.466,0.61,792,794
9.477,0.62,800,802
9.488,0.65,808,810
9.499,0.68,816,818
9.51,0.68,824,826
9.521,0.62,832,834
9.532,0.61,840,842
9.543,0.67,849,850
9.554,0.72,857,859
9.565,0.66,864,867
9.576,0.62,872,875
9.587,0.64,880,883
9.598,0.69,888,891
9.609,0.72,896,899
9.62,0.71,904,907
9.631,0.67,912,915
9.642,0.64,920,923
9.653,0.71,928,931
9.664,0.78,936,938
9.675,0.78,944,946
9.686,0.7,951,954
9.697,0.66,960,961
9.708,0.73,968,969
9.719,0.75,976,977
9.73,0.75,984,985
9.741,0.72,992,993
9.752,0.7,1000,1001
9.763,0.7,1008,1009
9.774,0.69,1016,1017
9.785,0.7,1024,1025
9.796,0.7,1032,1033
9.807,0.71,1040,1041
9.818,0.73,1049,1050
9.829,0.77,1056,1058
9.84,0.71,1064,1066
9.851,0.7,1072,1074
9.862,0.76,1080,1082
9.873,0.76,1088,1090
9.884,0.74,1096,1098
9.895,0.73,1104,1106
9.906,0.77,1112,1114
9.917,0.76,1120,1122
9.928,0.79,1128,1130
9.939,0.8,1136,1138
9.95,0.8,1144,1146
9.961,0.83,1152,1154
9.972,0.79,1159,1162
9.983,0.75,1167,1170
9.994,0.74,1175,1177
10.005,0.75,1183,1185
10.016,0.8,1191,1193
10.027,0.82,1199,1201
10.038,0.84,1207,1210
10.049,0.82,1214,1218
10.06,0.79,1222,1226
10.071,0.79,1230,1234
10.082,0.8,1238,1242
10.093,0.79,1246,1249
10.104,0.79,1254,1257
10.115,0.82,1262,1265
10.126,0.81,1270,1273
10.137,0.78,1278,1281
10.148,0.75,1286,1289
10.159,0.73,1294,1297
10.17,0.78,1302,1305
10.181,0.84,1309,1313
10.192,0.85,1317,1321
10.203,0.77,1325,1329
10.214,0.74,1333,1337
10.225,0.77,1341,1345
10.236,0.82,1349,1352
10.247,0.81,1356,1361
10.258,0.77,1364,1369
10.269,0.8,1372,1377
10.28,0.8,1380,1385
10.291,0.8,1388,1393
10.302,0.83,1396,1401
10.313,0.83,1404,1409
10.324,0.83,1412,1417
10.534,0.85,1442,1448
10.545,0.85,1442,1448
10.556,0.85,1444,1450
10.567,0.86,1448,1454
10.578,1.29,1454,1460
10.589,2.18,1461,1467
10.6,3.31,1469,1474
10.611,4.68,1477,1482
10.622,6.11,1486,1491
10.633,7.68,1495,1500
10.644,9.33,1505,1509
10.655,11.02,1516,1519
10.666,12.75,1526,1529
10.677,14.54,1537,1540
10.688,16.3,1548,1550
10.699,18.14,1559,1560
10.71,19.98,1571,1571
10.721,21.86,1582,1582
10.732,23.8,1593,1593
10.743,25.73,1605,1603
10.754,27.64,1617,1614
10.765,29.53,1628,1625
10.776,31.46,1640,1636
10.787,33.36,1652,1647
10.798,35.28,1664,1658
10.809,37.21,1675,1669
10.82,39.11,1687,1680
10.831,40.99,1699,1691
10.842,42.87,1710,1702
10.853,44.76,1722,1713
10.864,46.66,1734,1724
10.875,48.53,1746,1735
10.886,50.47,1757,1746
10.897,52.4,1769,1757
10.908,54.23,1780,1768
10.919,56.12,1792,1779
10.93,58.03,1804,1790
10.941,59.97,1815,1801
10.952,61.91,1827,1812
10.963,63.76,1838,1823
10.974,65.52,1848,1833
10.985,67.18,1859,1843
10.996,68.88,1868,1852
11.007,70.44,1877,1861
11.018,71.9,1886,1869
11.029,73.24,1894,1877
11.04,74.58,1902,1884
11.051,75.78,1909,1891
11.062,76.93,1916,1897
11.073,78.06,1923,1904
11.084,79.08,1929,1910
11.095,80.05,1936,1916
11.106,81.06,1942,1921
11.117,82.05,1948,1927
11.128,82.98,1953,1932
11.139,83.9,1959,1937
11.15,84.83,1965,1942
11.161,85.76,1970,1948
11.172,86.69,1976,1953
11.183,87.64,1982,1958
11.393,88.58,2001,1978
11.404,88.58,2001,1978
11.415,88.58,2002,1979
11.426,88.61,2006,1981
11.437,88.79,2010,1985
11.448,88.94,2014,1989
11.459,88.9,2019,1994
11.47,88.83,2024,1999
11.481,88.81,2030,2005
11.492,88.84,2037,2010
11.503,88.96,2044,2016
11.514,89.0,2051,2023
11.525,88.94,2058,2030
11.536,88.91,2066,2037
11.547,88.93,2074,2044
11.558,89.05,2082,2052
11.569,89.1,2090,2060
11.58,89.04,2097,2067
11.591,89.0,2105,2075
11.602,89.07,2113,2083
11.613,89.16,2121,2091
11.624,89.21,2129,2099
11.635,89.19,2137,2108
11.646,89.16,2146,2116
11.657,89.15,2154,2123
11.668,89.17,2162,2131
11.679,89.24,2170,2139
11.69,89.26,2178,2147
11.701,89.25,2186,2155
11.712,89.25,2194,2163
11.723,89.26,2202,2172
11.734,89.28,2210,2180
11.745,89.3,2218,2188
11.756,89.35,2227,2195
11.767,89.39,2235,2203
11.778,89.41,2243,2211
11.789,89.38,2251,2219
11.8,89.34,2259,2227
11.811,89.35,2267,2235
11.822,89.34,2276,2243
11.833,89.42,2284,2251
11.844,89.55,2292,2259
11.855,89.58,2300,2267
11.866,89.48,2308,2276
11.877,89.4,2316,2284
11.888,89.45,2324,2292
11.899,89.56,2333,2300
11.91,89.57,2341,2308
11.921,89.53,2350,2316
11.932,89.53,2358,2325
11.943,89.56,2366,2333
11.954,89.56,2375,2341
11.965,89.49,2383,2349
11.976,89.51,2391,2357
11.987,89.58,2400,2365
11.998,89.64,2409,2373
12.009,89.58,2417,2381
12.02,89.54,2425,2390
12.031,89.54,2434,2398
12.042,89.63,2443,2406
12.053,89.65,2451,2415
12.064,89.66,2460,2423
12.075,89.69,2468,2432
12.086,89.64,2477,2440
12.097,89.66,2485,2449
12.108,89.68,2494,2458
12.119,89.73,2502,2466
12.13,89.7,2511,2475
12.141,89.71,2519,2483
12.152,89.65,2528,2491
12.163,89.69,2536,2499
12.174,89.68,2545,2508
12.185,89.73,2553,2516
12.196,89.76,2561,2524
12.207,89.77,2570,2532
12.218,89.75,2578,2541
12.229,89.67,2587,2549
12.24,89.7,2595,2557
12.251,89.79,2604,2566
12.262,89.9,2612,2574
12.273,89.85,2620,2582
12.284,89.76,2628,2591
12.295,89.68,2637,2599
12.306,89.8,2646,2607
12.317,89.84,2654,2615
12.328,89.86,2662,2624
12.339,89.86,2671,2632
12.35,89.87,2679,2641
12.361,89.88,2687,2649
12.372,89.85,2695,2657
12.383,89.86,2704,2665
12.394,89.84,2712,2674
12.405,89.96,2720,2682
12.416,89.99,2728,2690
12.427,90.01,2736,2698
12.438,89.93,2744,2706
12.449,89.87,2752,2714
12.46,89.89,2761,2721
12.471,89.92,2770,2729
12.482,90.0,2778,2738
12.493,89.96,2787,2746
12.504,89.94,2794,2754
12.515,89.86,2802,2762
12.526,89.91,2811,2770
12.537,90.0,2820,2779
12.548,90.08,2828,2788
12.559,90.0,2836,2796
12.57,90.0,2845,2805
12.581,89.98,2853,2813
12.592,89.96,2861,2821
12.603,89.99,2869,2830
12.614,90.03,2878,2838
12.625,90.1,2886,2846
12.636,90.0,2894,2855
12.647,89.99,2902,2863
12.658,89.97,2911,2872
12.669,90.06,2919,2880
12.68,90.08,2927,2888
12.691,90.09,2935,2896
12.702,90.09,2943,2904
12.713,90.04,2952,2912
12.724,90.05,2960,2920
12.735,89.96,2968,2928
12.746,89.95,2977,2936
12.757,90.05,2985,2945
12.768,90.21,2994,2953
12.779,90.15,3002,2962
12.79,90.1,3009,2970
12.801,90.05,3018,2979
12.812,90.08,3026,2987
12.823,90.1,3035,2995
12.834,90.07,3043,3003
12.845,90.1,3051,3012
12.856,90.08,3059,3020
12.867,90.1,3068,3028
12.878,90.01,3076,3036
12.889,90.05,3084,3043
12.9,90.09,3092,3051
12.911,90.14,3100,3059
12.922,90.12,3108,3068
12.933,90.03,3116,3076
12.944,90.03,3124,3084
12.955,90.05,3132,3091
12.966,90.14,3141,3099
12.977,90.1,3149,3108
12.988,90.13,3157,3116
12.999,90.09,3165,3124
13.01,90.07,3173,3133
13.021,90.1,3181,3141
13.032,90.12,3190,3149
13.043,90.15,3198,3158
13.054,90.1,3206,3166
13.065,90.13,3214,3174
13.076,90.06,3223,3183
13.087,90.09,3231,3191
13.098,90.06,3240,3199
13.109,90.11,3248,3207
13.12,90.14,3256,3216
13.131,90.14,3264,3224
13.142,90.09,3273,3232
13.153,90.02,3281,3241
13.164,90.07,3289,3249
13.175,90.13,3298,3257
13.186,90.21,3306,3265
13.197,90.14,3314,3274
13.208,90.07,3322,3282
13.219,89.98,3330,3290
13.23,90.08,3339,3298
13.241,90.13,3347,3306
13.252,90.12,3355,3314
13.263,90.1,3363,3322
13.274,90.06,3371,3330
13.285,90.11,3379,3338
13.296,90.1,3387,3346
13.307,90.13,3395,3355
13.318,90.04,3403,3363
13.329,90.11,3411,3371
13.34,90.18,3419,3379
13.351,90.23,3427,3387
13.362,90.22,3434,3394
13.373,90.1,3442,3402
13.384,90.1,3450,3410
13.594,90.1,3482,3441
13.605,90.1,3482,3441
13.616,90.11,3483,3442
13.627,90.22,3488,3446
13.638,90.78,3494,3452
13.649,91.7,3501,3458
13.66,92.8,3510,3465
13.671,94.01,3518,3473
13.682,95.46,3527,3481
13.693,96.95,3537,3490
13.704,98.54,3548,3500
13.715,100.22,3558,3509
13.726,101.96,3568,3519
13.737,103.71,3579,3530
13.748,105.57,3590,3540
13.759,107.39,3601,3551
13.77,109.19,3612,3561
13.781,111.02,3623,3572
13.792,112.84,3634,3583
13.803,114.67,3646,3594
13.814,116.52,3657,3605
13.825,118.4,3668,3615
13.836,120.29,3679,3626
13.847,122.15,3692,3637
13.858,123.97,3705,3648
13.869,125.8,3717,3659
13.88,127.69,3729,3670
13.891,129.49,3741,3681
13.902,131.34,3752,3692
13.913,133.2,3764,3703
13.924,134.97,3775,3713
13.935,136.84,3787,3724
13.946,138.68,3798,3735
13.957,140.51,3809,3746
13.968,142.35,3821,3756
13.979,144.18,3832,3767
13.99,146.05,3844,3778
14.001,147.88,3855,3788
14.012,149.69,3867,3799
14.023,151.54,3878,3809
14.034,153.35,3889,3820
14.045,155.1,3899,3829
14.056,156.76,3909,3839
14.067,158.35,3919,3848
14.078,159.82,3928,3856
14.089,161.22,3937,3864
14.1,162.53,3945,3871
14.111,163.77,3952,3878
14.122,164.92,3960,3885
14.133,165.97,3966,3891
14.144,166.94,3973,3897
14.155,167.88,3979,3902
14.166,168.77,3985,3908
14.177,169.63,3990,3913
14.188,170.5,3996,3918
14.199,171.33,4002,3923
14.21,172.12,4007,3927
14.221,172.93,4013,3932
14.232,173.73,4018,3937
14.243,174.5,4024,3942
14.254,175.3,4029,3946
14.265,176.15,4034,3951
14.276,176.91,4039,3956
14.287,177.58,4044,3960
14.497,178.29,4060,3972
14.508,178.29,4060,3972
14.519,178.31,4062,3973
14.53,178.42,4065,3976
14.541,178.67,4068,3980
14.552,178.93,4072,3986
14.563,178.86,4075,3993
14.574,178.57,4080,4001
14.585,178.36,4086,4007
14.596,178.43,4093,4013
14.607,178.56,4101,4019
14.618,178.67,4108,4026
14.629,178.7,4115,4033
14.64,178.62,4123,4041
14.651,178.64,4130,4049
14.662,178.63,4138,4056
14.673,178.64,4146,4064
14.684,178.66,4155,4072
14.695,178.65,4163,4080
14.706,178.7,4171,4088
14.717,178.65,4180,4096
14.728,178.68,4188,4104
14.739,178.72,4196,4112
14.75,178.8,4205,4121
14.761,178.77,4213,4129
14.772,178.75,4221,4137
14.783,178.7,4230,4145
14.794,178.72,4238,4153
14.805,178.76,4247,4161
14.816,178.78,4255,4170
14.827,178.78,4264,4178
14.838,178.78,4272,4186
14.849,178.81,4280,4194
14.86,178.79,4289,4203
14.871,178.8,4297,4211
14.882,178.79,4305,4219
14.893,178.83,4314,4227
14.904,178.83,4322,4236
14.915,178.82,4331,4244
14.926,178.8,4339,4252
14.937,178.8,4348,4260
14.948,178.86,4356,4268
14.959,178.88,4364,4276
14.97,178.9,4372,4285
14.981,178.9,4381,4293
14.992,178.87,4389,4301
15.003,178.84,4397,4310
15.014,178.91,4406,4318
15.025,178.99,4414,4326
15.036,178.99,4423,4334
15.047,178.91,4431,4342
15.058,178.88,4439,4350
15.069,178.95,4448,4358
15.08,179.02,4456,4366
15.091,179.01,4465,4374
15.102,178.99,4473,4382
15.113,179.03,4481,4390
15.124,179.08,4490,4398
15.135,179.07,4498,4407
15.146,179.05,4506,4415
15.157,179.02,4514,4423
15.168,179.07,4523,4430
15.179,179.17,4531,4438
15.19,179.19,4539,4446
15.201,179.22,4547,4454
15.212,179.18,4555,4461
15.223,179.15,4563,4469
15.234,179.19,4572,4477
15.245,179.21,4580,4485
15.256,179.23,4589,4493
15.267,179.2,4597,4501
15.278,179.23,4605,4509
15.289,179.16,4613,4517
15.3,179.19,4622,4525
15.311,179.18,4631,4533
15.322,179.23,4639,4541
15.333,179.26,4647,4549
15.344,179.29,4655,4557
15.355,179.27,4663,4566
15.366,179.19,4672,4574
15.377,179.26,4680,4582
15.388,179.32,4688,4590
15.399,179.38,4696,4598
15.41,179.3,4704,4607
15.421,179.28,4713,4615
15.432,179.25,4721,4623
15.443,179.35,4729,4631
15.454,179.38,4738,4639
15.465,179.37,4746,4647
15.476,179.41,4754,4655
15.487,179.39,4762,4663
15.498,179.41,4770,4671
15.509,179.38,4778,4679
15.52,179.4,4786,4687
15.531,179.38,4794,4695
15.542,179.43,4803,4703
15.553,179.46,4811,4711
15.564,179.46,4819,4719
15.575,179.47,4827,4727
15.586,179.43,4835,4735
15.597,179.48,4843,4743
15.608,179.45,4851,4751
15.619,179.45,4860,4759
15.63,179.44,4868,4767
15.641,179.47,4876,4775
15.652,179.49,4884,4783
15.663,179.52,4892,4791
